"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Payroll.cs", "C#", 38, 0, 0, 0, 13, 51
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Requests\LeaveApplication.cs", "C#", 20, 0, 0, 0, 5, 25
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Requests\OTApplication.cs", "C#", 19, 0, 0, 0, 3, 22
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Shift.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\UserAccount.cs", "C#", 15, 0, 0, 0, 1, 16
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\UserNotification.cs", "C#", 12, 0, 0, 0, 1, 13
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\UserSettings.cs", "C#", 27, 0, 0, 1, 11, 39
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Program.cs", "C#", 120, 0, 0, 5, 26, 151
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 1, 42
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Repository\GenericRepository.cs", "C#", 52, 0, 0, 6, 13, 71
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\AboutEmployeeServices.cs", "C#", 28, 0, 0, 0, 14, 42
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\AttendanceCertificationServices.cs", "C#", 74, 0, 0, 0, 17, 91
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\AttendanceServices.cs", "C#", 284, 0, 0, 12, 81, 377
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\DepartmentServices.cs", "C#", 66, 0, 0, 0, 29, 95
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\EmployeeServices.cs", "C#", 183, 0, 0, 34, 53, 270
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\LeaveApplicationServices.cs", "C#", 122, 0, 0, 0, 31, 153
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\LeaveBalanceServices.cs", "C#", 40, 0, 0, 0, 11, 51
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\NotificationServices.cs", "C#", 64, 0, 0, 0, 14, 78
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\OTApplicationServices.cs", "C#", 91, 0, 0, 0, 25, 116
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\PayrollServices.cs", "C#", 92, 0, 0, 4, 21, 117
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\ShiftServices.cs", "C#", 40, 0, 0, 0, 15, 55
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\SupervisorServices.cs", "C#", 35, 0, 0, 0, 12, 47
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\UserAccountServices.cs", "C#", 81, 0, 0, 0, 32, 113
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\UserNotificationServices.cs", "C#", 13, 0, 0, 0, 3, 16
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Services\UserSettingServices.cs", "C#", 74, 0, 0, 3, 13, 90
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\SignalR\MessageHub.cs", "C#", 97, 0, 0, 0, 19, 116
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\SignalR\NotificationHub.cs", "C#", 119, 0, 0, 31, 38, 188
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\appsettings.json", "JSON", 0, 0, 19, 0, 1, 20
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\hrconnectbackend.csproj", "XML", 0, 37, 0, 0, 4, 41
"Total", "-", 11227, 37, 60, 302, 2726, 14352
