"filename", "language", "JSON", "XML", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EmployeeModels\AboutEmployee.cs", "C#", 0, 0, 53, 0, 0, 4, 57
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EmployeeModels\Employee.cs", "C#", 0, 0, 55, 0, 1, 5, 61
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EmployeePosition.cs", "C#", 0, 0, 10, 0, 0, 3, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EmployeeRole.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\EnumData.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\LeaveBalance.cs", "C#", 0, 0, 24, 0, 0, 8, 32
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Leaves.cs", "C#", 0, 0, 18, 0, 0, 3, 21
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Notifications.cs", "C#", 0, 0, 17, 0, 0, 3, 20
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Organization.cs", "C#", 0, 0, 56, 0, 0, 5, 61
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\OrganizationSettings.cs", "C#", 0, 0, 7, 0, 0, 1, 8
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Payment.cs", "C#", 0, 0, 30, 0, 1, 9, 40
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Payroll.cs", "C#", 0, 0, 40, 0, 0, 8, 48
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Plan.cs", "C#", 0, 0, 34, 0, 2, 10, 46
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Properties\launchSettings.example.json", "JSON", 41, 0, 0, 0, 0, 1, 42
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Properties\launchSettings.json", "JSON", 54, 0, 0, 0, 0, 1, 55
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\RefreshToken.cs", "C#", 0, 0, 19, 0, 0, 3, 22
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\RequestModel\RequestModels.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Requests\LeaveApplication.cs", "C#", 0, 0, 23, 0, 0, 5, 28
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Models\Requests\OtApplication.cs", "C#", 0, 0, 19, 0, 0, 3, 22
